,start_datetime,end_datetime,start_frequency,end_frequency,flare_location,flare_region,flare_classification,cme_date,cme_time,cme_angle,cme_width,cme_speed,isHalo,rank,x_classification,region,max_datetime
8,1997-11-06 12:20:00,1997-11-07 08:30:00,14000,100,S18W63,8100,X9.4,11/06,12:10,,360,1556,True,,,,
514,2017-09-06 12:05:00,2017-09-07 08:00:00,16000,70,S08W33,12673,X9.3,09/06,12:24,,360,1571,True,,,,
328,2006-12-05 10:50:00,2006-12-05 20:00:00,14000,250,S07E68,10930,X9.0,,,,,,False,,,,
515,2017-09-10 16:02:00,2017-09-11 06:50:00,16000,150,S09W92,,X8.3,09/10,16:00,,360,3163,True,,,,
237,2003-11-02 17:30:00,2003-11-03 01:00:00,12000,250,S14W56,10486,X8.3,11/02,17:30,,360,2598,True,,,,
288,2005-01-20 07:15:00,2005-01-20 16:30:00,14000,25,N14W61,10720,X7.1,01/20,06:54,,360,882,True,,,,
359,2011-08-09 08:20:00,2011-08-09 08:35:00,16000,4000,N17W69,11263,X6.9,08/09,08:12,,360,1610,True,,,,
331,2006-12-06 19:00:00,2006-12-09 00:00:00,16000,30,S05E64,10930,X6.5,,,,,,False,,,,
317,2005-09-09 19:45:00,2005-09-09 22:00:00,10000,50,S12E67,10808,X6.2,09/09,19:48,,360,2257,True,,,,
82,2000-07-14 10:30:00,2000-07-15 14:30:00,14000,80,N22W07,9077,X5.7,07/14,10:54,,360,1674,True,,,,
121,2001-04-06 19:35:00,2001-04-07 01:50:00,14000,230,S21E31,9415,X5.6,04/06,19:30,,360,1270,True,,,,
375,2012-03-07 01:00:00,2012-03-08 19:00:00,16000,30,N17E27,11429,X5.4,03/07,00:24,,360,2684,True,,,,
135,2001-08-25 16:50:00,2001-08-25 23:00:00,8000,170,S17E34,9591,X5.3,08/25,16:50,,360,1433,True,,,,
443,2014-02-25 00:56:00,2014-02-25 11:28:00,14000,100,S12E82,11990,X4.9,02/25,01:25,,360,2147,True,,,,
193,2002-07-23 00:50:00,2002-07-23 04:00:00,11000,400,S13E72,10039,X4.8,07/23,00:42,,360,2285,True,,,,
104,2000-11-26 17:00:00,2000-11-26 17:15:00,14000,7000,N18W38,9236,X4.0,11/26,17:06,,360,980,True,,,,
239,2003-11-03 10:00:00,2003-11-03 12:30:00,6000,400,N08W77,10488,X3.9,11/03,10:06,293,103,1420,False,,,,
286,2005-01-17 10:00:00,2005-01-17 10:35:00,6100,1500,N15W25,10720,X3.8,01/17,09:54,,360,2547,True,,,,
222,2003-05-28 01:00:00,2003-05-29 00:30:00,1000,200,S07W20,10365,X3.6,05/28,00:50,,360,1366,True,,,,
332,2006-12-13 02:45:00,2006-12-13 10:40:00,12000,150,S06W23,10930,X3.4,12/13,02:54,,360,1774,True,,,,
160,2001-12-28 20:35:00,2001-12-29 03:00:00,14000,350,S26E90,9756,X3.4,12/28,20:30,,360,2216,True,,,,
192,2002-07-20 21:30:00,2002-07-20 22:20:00,10000,2000,S13E90,10039,X3.3,07/20,22:06,,360,1941,True,,,,
